"","observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species","TSN"
"129","Artediellus atlanticus","Artediellus","genus","Hameçon Atlantique","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Artediellus","Artediellus atlanticus",167208
"130","Careproctus ranula","Careproctus ranula","species","Limace acadienne","Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Careproctus","Careproctus ranula",643676
"131","Brosme brosme","Brosme brosme","species","Brosme","Animalia","Chordata","Teleostei","Gadiformes","Lotidae","Brosme","Brosme brosme",164740
"132","Bathylagus euryops","Bathylagus euryops","species","Garcette-goitre","Animalia","Chordata","Teleostei","Osmeriformes","Bathylagidae","Bathylagus","Bathylagus euryops",162091
"133","Cottunculus thomsonii","Cottunculus thomsonii","species","Cotte blême","Animalia","Chordata","Teleostei","Scorpaeniformes","Psychrolutidae","Cottunculus","Cottunculus thomsonii",643682
"134","Coryphaenoides rupestris","Coryphaenoides rupestris","species","Grenadier de roche","Animalia","Chordata","Teleostei","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides rupestris",165350
"135","Chiasmodon niger","Chiasmodon niger","species","Gargare noir","Animalia","Chordata","Teleostei","Perciformes","Chiasmodontidae","Chiasmodon","Chiasmodon niger",171086
"136","Chauliodus sloani","Chauliodus sloani","species","Chauliode très lumineux","Animalia","Chordata","Teleostei","Stomiiformes","Stomiidae","Chauliodus","Chauliodus sloani",162281
"137","Dipturus laevis","Dipturus laevis","species","Grande raie","Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Dipturus","Dipturus laevis",564139
"138","Dibranchus atlanticus","Dibranchus atlanticus","species","","Animalia","Chordata","Teleostei","Lophiiformes","Ogcocephalidae","Dibranchus","Dibranchus atlanticus",164589
"139","Harriotta raleighana","Harriotta raleighana","species","Chimère de raleigh","Animalia","Chordata","Chondrichthyes","Chimaeriformes","Rhinochimaeridae","Harriotta","Harriotta raleighana",161029
"140","Liparis fabricii","Liparis fabricii","species","Limace gélatineuse","Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Liparis","Liparis fabricii",550548
"141","Myotis lucifugus","Myotis lucifugus","species","Petite chauve-souris brune","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","Myotis lucifugus",179988
"142","Gaidropsarus ensis","Gaidropsarus ensis","species","Mustèle arctique à trois barbillons","Animalia","Chordata","Teleostei","Gadiformes","Lotidae","Gaidropsarus","Gaidropsarus ensis",164769
"143","Magnisudis atlantica","Magnisudis atlantica","species","Barracudine","Animalia","Chordata","Teleostei","Aulopiformes","Paralepididae","Magnisudis","Magnisudis atlantica",644691
"144","Liparis tunicatus","Liparis","genus","","Animalia","Chordata","Equisetopsida","Asparagales","Liparidae","Liparis","Liparis tunicatus",167579
"145","Liparis gibbus","Liparis gibbus","species","Limace marbrée","Animalia","Chordata","Teleostei","Scorpaeniformes","Liparidae","Liparis","Liparis gibbus",167561
"146","Liparis atlanticus","Liparis atlanticus","species","","Animalia","Chordata","Teleostei","Lepidoptera","Liparidae","Liparis","Ocneria atlantica",NA
"147","Lycodes vahlii","Lycodes vahlii","species","Lycode à carreaux","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes vahlii",165284
"148","Lycodes terraenovae","Lycodes colletti","species","","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes terraenovae",630981
"149","Lycodes reticulatus","Lycodes reticulatus","species","Lycode arctique","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes reticulatus",165280
"150","Macrourus berglax","Macrourus berglax","species","Grenadier berglax","Animalia","Chordata","Teleostei","Gadiformes","Macrouridae","Macrourus","Macrourus berglax",165421
"151","Lycodes pallidus","Lycodes colletti","species","","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes uschakovi",631169
"152","Lycodes lavalaei","Lycodes lavalaei","species","Lycode du labrador","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes lavalaei",165276
"153","Lycodes esmarkii","Lycodes colletti","species","","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodes","Lycodes colletti",631141
"154","Lycenchelys verrillii","Lycenchelys verrillii","species","","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycenchelys","Lycenchelys verrillii",631024
"155","Lithobates clamitans melanota","Lithobates clamitans","species","","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates clamitans",775087
"156","Lumpenus fabricii","Lumpenus fabricii","species","Lompénie élancée","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus fabricii",171582
"157","Lycodonus mirabilis","Lycodonus mirabilis","species","Lycaspine à chevrons","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Lycodonus","Lycodonus mirabilis",630983
"158","Microgadus tomcod","Microgadus tomcod","species","Poulamon Atlantique","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Microgadus","Microgadus tomcod",164720
"159","Sebastes mentella","Sebastes mentella","species","Sébaste Atlantique","Animalia","Chordata","Teleostei","Scorpaeniformes","Sebastidae","Sebastes","Sebastes mentella",166756
"160","Menidia menidia","Menidia menidia","species","Capucette","Animalia","Chordata","Teleostei","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia",165994
